"roast"|"word"|"score"
"Medium-Dark"|"pleasing"|"7.57"
"Medium-Dark"|"admired"|"7.56"
"Medium-Dark"|"grapefruit"|"7.56"
"Light"|"sweeten"|"7.54"
"Medium-Light"|"peach"|"7.54"
"Light"|"papaya"|"7.47"
"Light"|"finishes"|"7.47"
"Medium-Dark"|"pronounced"|"7.46"
"Light"|"silk"|"7.37"
"Light"|"powerful"|"7.35"
"Light"|"saturated"|"7.31"
"Light"|"consolidate"|"7.3"
"Light"|"rose"|"7.26"
"Light"|"lyric"|"7.25"
"Light"|"agave"|"7.25"
"Medium-Dark"|"cool"|"7.24"
"Medium-Dark"|"ken"|"7.21"
"Medium"|"currant"|"7.18"
"Light"|"malt"|"7.18"
"Dark"|"spicy"|"7.17"
"Medium"|"balanced"|"7.14"
"Medium-Light"|"floral"|"7.14"
"Medium-Light"|"resonant"|"7.01"
"Light"|"complicated"|"6.99"
"Medium-Dark"|"suggestion"|"6.93"
"Medium-Dark"|"limited"|"6.92"
"Medium-Dark"|"continued"|"6.92"
"Medium-Dark"|"fullish"|"6.92"
"Medium-Dark"|"graceful"|"6.92"
"Medium-Light"|"intense"|"6.88"
"Light"|"satiny"|"6.86"
"Light"|"violet"|"6.86"
"Light"|"extravagant"|"6.86"
"Medium-Light"|"almond"|"6.85"
"Medium-Light"|"ripe"|"6.85"
"Light"|"resonate"|"6.84"
"Medium-Dark"|"emerge"|"6.82"
"Medium-Light"|"buoyant"|"6.81"
"Medium-Light"|"orange"|"6.79"
"Light"|"lavender"|"6.77"
"Medium"|"black"|"6.76"
"Medium-Dark"|"displays"|"6.76"
"Medium-Dark"|"sumatra"|"6.76"
"Medium-Light"|"particular"|"6.75"
"Medium"|"lemon"|"6.74"
"Light"|"melon"|"6.74"
"Light"|"suggest"|"6.73"
"Light"|"pure"|"6.7"
"Medium"|"dry"|"6.64"
"Medium-Dark"|"maintain"|"6.63"
"Light"|"fresh"|"6.61"
"Medium-Dark"|"slight"|"6.61"
"Medium-Light"|"quiet"|"6.58"
"Medium-Dark"|"produced"|"6.58"
"Medium-Dark"|"herbal"|"6.58"
"Medium-Dark"|"distant"|"6.58"
"Medium-Light"|"clean"|"6.55"
"Medium"|"carries"|"6.51"
"Dark"|"linger"|"6.51"
"Medium-Light"|"gently"|"6.51"
"Light"|"carry"|"6.5"
"Medium-Light"|"plush"|"6.49"
"Medium-Light"|"savory"|"6.49"
"Light"|"coconut"|"6.48"
"Light"|"mix"|"6.48"
"Medium"|"fir"|"6.44"
"Light"|"brown"|"6.44"
"Medium-Dark"|"prune"|"6.44"
"Medium-Dark"|"support"|"6.42"
"Medium-Dark"|"shot"|"6.4"
"Light"|"range"|"6.38"
"Medium-Light"|"lily"|"6.38"
"Light"|"pipe"|"6.36"
"Light"|"carob"|"6.36"
"Medium-Dark"|"bitter"|"6.36"
"Medium-Light"|"brisk"|"6.33"
"Medium-Dark"|"surprising"|"6.31"
"Medium-Dark"|"bit"|"6.31"
"Medium"|"citrus"|"6.3"
"Medium"|"cocoa"|"6.22"
"Light"|"wine"|"6.21"
"Light"|"tobacco"|"6.21"
"Medium"|"deepen"|"6.2"
"Light"|"mango"|"6.17"
"Light"|"complete"|"6.16"
"Light"|"meza"|"6.15"
"Light"|"bourbon"|"6.15"
"Light"|"point"|"6.15"
"Light"|"miguel"|"6.15"
"Light"|"vibrant"|"6.11"
"Medium"|"s"|"6.09"
"Medium-Dark"|"fudgy"|"6.08"
"Medium"|"cherry"|"6.07"
"Light"|"cut"|"6.07"
"Medium-Light"|"narcissus"|"6.07"
"Light"|"blood"|"6.04"
"Light"|"grass"|"6.04"
"Light"|"brandy"|"6.03"
"Medium-Dark"|"pleasant"|"6.01"
"Medium-Dark"|"straightforward"|"5.97"
