Region,Flowery,Fruity,Earthy,Nutty,Sugary,Carbony
Caribbean,0,3,2,2,1,2
South America,0,3,1,3,3,0
Asia & Indonesia,0,4,5,0,0,1
Central America,2,3,3,1,0,1
Africa,2,7,1,0,0,0
Hawaii,4,4,0,0,2,0
